title,DOI,abstract,release_date,authors,R0_sentence,R0_value,R0_location,bad,Spot check/resolve
Predictions of COVID-19 dynamics in the UK: short-term forecasting and analysis of potential exit strategies,10.1101/2020.05.10.20083683,"Background: Efforts to suppress transmission of SARS-CoV-2 in the UK have seen non-pharmaceutical interventions being invoked. The most severe measures to date include all restaurants, pubs and cafes being ordered to close on 20th March, followed by a ""stay at home"" order on the 23rd March and the closure of all non-essential retail outlets for an indefinite period. Government agencies are presently analysing how best to develop an exit strategy from these measures and to determine how the epidemic may progress once measures are lifted. Mathematical models are currently providing short and long term forecasts regarding the future course of the COVID-19 outbreak in the UK to support evidence-based policymaking. Methods: We present a deterministic, age-structured transmission model that uses real-time data on confirmed cases requiring hospital care and mortality to provide up-to-date predictions on epidemic spread in ten regions of the UK. We simulated a suite of scenarios to assess the impact of differing approaches to relaxing social distancing measures from 7th May 2020, on the estimated number of patients requiring inpatient and critical care treatment, and deaths. With regard to future epidemic outcomes, we investigated the impact of reducing compliance, ongoing shielding of elder age groups, reapplying stringent social distancing measures using region based triggers and the role of asymptomatic transmission. Findings: We find that significant relaxation of social distancing measures on 7th May can lead to a rapid resurgence of COVID-19 disease and the health system being quickly overwhelmed by a sizeable, second epidemic wave. In all considered age-shielding based strategies, we projected serious demand on critical care resources during the course of the pandemic. The reintroduction and release of strict measures on a regional basis, based on ICU bed occupancy, results in a long epidemic tail, until the second half of 2021, but ensures that the health service is protected by reintroducing social distancing measures for all individuals in a region when required. Conclusions: Our work supports the decision to apply stringent non-pharmaceutical measures in March 2020 to suppress the epidemic. We provide strong evidence to support the need for a cautious, measured approach to relaxation of lockdown measures, to protect the most vulnerable members of society and support the health service through subduing demand on hospital beds, in particular bed occupancy in intensive care units.",5/11/2020,['University of Warwick'],assumptions were an R0 of 2.7,2.7,,,
Unreported cases for Age Dependent COVID-19 Outbreak in Japan,10.1101/2020.05.07.20093807,"We investigate the age structured data for the COVID-19 outbreak in Japan. We consider epidemic mathematical model with unreported infectious patient with and without age structure. In particular, we build a new mathematical model which allows to take into account differences in the response of patients to the disease according to their age. This model also allows for a heterogeneous response of the population to the social distancing measures taken by the local government. We fit this model to the observed data and obtain a snapshot of the effective transmissions occurring inside the population at different times, which indicates where and among whom the disease propagates after the start of the public measures.",5/12/2020,"['University of Bordeaux', 'Ecole polythechinque de Thies']",varies between 0.8 and 1,0.9,,,
Predicted success of prophylactic antiviral therapy to block or delay SARS-CoV-2 infection depends on the targeted mechanism,10.1101/2020.05.07.20092965,"Repurposed drugs that are immediately available and have a good safety profile constitute a first line of defense against new viral infections. Despite a limited antiviral activity against SARS-CoV-2, several drugs serve as candidates for application, not only in infected individuals but also as prophylaxis to prevent infection establishment. Here we use a stochastic model to describe the early phase of a viral infection. We find that the critical efficacy needed to block viral establishment is typically above 80%. This value can be improved by combination therapy. Below the critical efficacy, establishment can still sometimes be prevented; for that purpose, drugs blocking viral entry into target cells (or equivalently enhancing viral clearance) are more effective than drugs reducing viral production or enhancing infected cell death. When a viral infection cannot be prevented because of high exposure or low drug efficacy, antivirals can still delay the time to reach detectable viral loads from 4 days when untreated to up to 30 days. This delay flattens the within-host epidemic curve, and possibly reduces transmission and symptom severity. These results suggest that antiviral prophylaxis, even with reduced efficacy, could be efficiently used to prevent or alleviate infection in people at high risk. It could thus be an important component of the strategy to combat the SARS-CoV-2 pandemic in the months or years to come.",5/12/2020,"['Sorbonne UniversitÃ©', 'UniversitÃ© de Paris, INSERM', 'Los Alamos National Laboratory', 'CollÃ¨ge de France']",we estimate the intra-host basic reproductive number to be R0 = 7,7,,,
Significant Relaxation of SARS-CoV-2-Targeted Non-Pharmaceutical Interventions Will Result in Profound Mortality: A New York State Modelling Study,10.1101/2020.05.08.20095505,"Severe acute respiratory syndrome-coronavirus 2 (SARS CoV 2) is the most significant global health crisis of the 21st century. The aim of this study was to develop a model to estimate the effect of undocumented infections, seasonal infectivity, immunity, and non-pharmaceutical interventions (NPIs), such as social distancing, on the transmission, morbidity, and mortality of SARS-CoV-2 in New York State (NYS). Simulations revealed dramatic infectivity driven by undocumented infections, and a peak basic reproductive number in NYS of 5.7. NPIs have been effective, and relaxation >50% will result in tens-of-thousands more deaths. Endemic infection is likely to occur in the absence of profound sustained immunity. As a result, until an effective vaccine or other effective pharmaceutical intervention is developed, it will be critical to not reduce NPIs >50% below current levels. This study establishes fundamental characteristics of SARS CoV 2 transmission, which can help policymakers navigate combating this virus in the coming years.",5/12/2020,['Columbia University'],reproductive number in NYS of 5.7,5.7,,,
Expected impact of reopening schools after lockdown on COVID-19 epidemic in Ile-de-France,10.1101/2020.05.08.20095521,"As several countries around the world are planning exit strategies to progressively lift the rigid social restrictions implemented with lockdown, different options are being chosen regarding the closure or reopening of schools. We evaluate the expected impact of reopening schools in lIe-de-France region after the withdrawal of lockdown currently scheduled for May 11, 2020. We explore several scenarios of partial, progressive, or full school reopening, coupled with moderate social distancing interventions and large-scale tracing, testing, and isolation. Accounting for current uncertainty on the role of children in COVID-19 epidemic, we test different hypotheses on children's transmissibility distinguishing between younger children (pre-school and primary school age) and adolescents (middle and high school age). Reopening schools after lifting lockdown will likely lead to an increase in the number of COVID-19 cases in the following 2 months, even with lower transmissibility of children, yet protocols exist that would allow maintaining the epidemic under control without saturating the healthcare system. With pre-schools and primary schools in session starting May 11, ICU occupation would reach at most 72% [55,83]% (95% probability ranges) of a 1,500-bed capacity (here foreseen as the routine capacity restored in the region post-first wave) if no other school level reopens before summer or if middle and high schools reopen one month later through a progressive protocol (increasing attendance week by week). Full attendance of adolescents at school starting in June would overwhelm the ICU system (138% [118,159]% occupation). Reopening all schools on May 11 would likely lead to a second wave similar to the one recently experienced, except if maximum attendance is limited to 50% for both younger children and adolescents. Based on the estimated situation on May 11, no substantial difference in the epidemic risk is predicted between progressive and prompt reopening of pre-schools and primary schools, thus allowing full attendance of younger children mostly in need of resuming learning and development. Reopening would require however large-scale trace and testing to promptly isolate cases, in addition to moderate social distancing interventions. Full attendance in middle and high schools is instead not recommended. Findings are consistent across different assumptions on the relative transmissibility of younger children and for small increase of the reproductive number possibly due to decreasing compliance to lockdown.",5/12/2020,"['INSERM, Sorbonne Universite', 'INSERM']",e reproductive number from �' =3.0,3,,,
"Evolving Epidemiology and Effect of Non-pharmaceutical Interventions on the Epidemic of Coronavirus Disease 2019 in Shenzhen, China",10.1101/2020.05.09.20084202,"Previous studies have demonstrated the characteristics of patients with 2019 novel coronavirus disease (COVID-19). However, the effect of non-pharmaceutical interventions on the epidemic in Shenzhen, China remains unknown. Individual data of 417 cases were extracted from the epidemiological investigations and the National Infectious Disease Information System between January 1, 2020 and February 29, 2020. On the basis of important interventions, the epidemic was divided into four periods (January 1-15, January 16-22, January 23-February 5 and after February 6). We used a susceptible-exposed-infectious-asymptomatic-recovered model to evaluate the effect of interventions. Results suggested that about 53.7% were imported from Wuhan. The median age was 47 years and 52.8% were women. Severity risk increased with age and associated with male and co-existing disorders. The attack rate peaked in the third period and drastically decreased afterwards across sex, age groups and geographic regions. Children younger than 5 years showed a higher attack rate than those aged of 6~19. The effective reproductive number decreased from 1.44 to 0.05 after the highest level emergency response since January 23. Overall, the non-pharmaceutical interventions have effectively mitigated the COVID-19 outbreak in Shenzhen, China. These findings may facilitate the introduction of public health policies in other countries and regions.",5/13/2020,"['Shenzhen Center for Disease Control and Prevention', 'Xiamen University']",reproductive number decreased from 1.44,1.44,,,
Forecasting Transmission Dynamics of COVID-19 Epidemic in India under Various Containment Measures- A Time-Dependent State-Space SIR Approach,10.1101/2020.05.08.20095877,"Objectives Our primary objective is to predict the dynamics of COVID-19 epidemic in India while adjusting for the effects of various progressively implemented containment measures. Apart from forecasting the major turning points and parameters associated with the epidemic, we intend to provide an epidemiological assessment of the impact of these containment measures in India. Methods We propose a method based on time-series SIR model to estimate time-dependent modifiers for transmission rate of the infection. These modifiers are used in state-space SIR model to estimate reproduction number R0, expected total incidence, and to forecast the daily prevalence till the end of the epidemic. We consider four different scenarios, two based on current developments and two based on hypothetical situations for the purpose of comparison. Results Assuming gradual relaxation in lockdown post 17 May 2020, we expect the prevalence of infecteds to cross 9 million, with at least 1 million severe cases, around the end of October 2020. For the same case, estimates of R0 for the phases no-intervention, partial-lockdown and lockdown are 4.46 (7.1), 1.47 (2.33), and 0.817 (1.29) respectively, assuming 14-day (24-day) infectious period. Conclusions Estimated modifiers give consistent estimates of unadjusted R0 across different scenarios, demonstrating precision. Results corroborate the effectiveness of lockdown measures in substantially reducing R0. Also, predictions are highly sensitive towards estimate of infectious period.",5/13/2020,"['Ramjas College, University of Delhi', 'Ramjas College, University of delhi', 'Department of Statistics, University of Delhi']","R0 for the phases no-intervention, partial-lockdown and lockdown are 4.46",4.46,,,
COVID-19 peak estimation and effect of nationwide lockdown in India,10.1101/2020.05.09.20095919,"There was a fury of the pandemic because of novel coronavirus (2019-nCoV/SARS-CoV-2) that happened in Wuhan, Hubei province, in China in December 2019. Since then, many model predictions on the COVID-19 pandemic in Wuhan and other parts of China have been reported. The first incident of coronavirus disease 2019 (COVID-19) in India was reported on 30 January 2020, which was a student from Wuhan. The number of reported cases has started to increase day by day after 30 February 2020. The purpose of this investigation is to provide a prediction of the epidemic peak for COVID-19 in India by utilizing real-time data from 30 February to 14 April 2020. We apply the well-known epidemic compartmental model ""SEIR"" to predict the epidemic peak of COVID-19, India. Since we do not have the complete detail of the infective population, using the available infected population data, we identify the R0 by using polynomial regression. By using the third-order polynomial equation, we estimate that the basic reproduction number for the epidemic in India is R0 = 3.3 (95%CI, 3.1 to 3.5), and the epidemic peak could be reached by September 2020.",5/13/2020,"['Karunya Institute of Technology and Sciences', 'Wroclaw University of Science and Technology']",epidemic in India is R0 = 3.3,3.3,,,
Mathematical model of COVID-19 spread in Turkey and South Africa,10.1101/2020.05.08.20095588,"A comprehensive study about the spread of COVID-19 cases in Turkey and South Africa has been presented in this paper . An exhaustive statistical analysis encompassing arithmetic, geometric, harmonic means, standard deviation, skewness, variance, Pearson and Spearman correlation was derived from the data collected from Turkey and South Africa within the period of 11 March 2020 to 3 May 2020 and 05 March and 3 of May respectively. It was observed that in the case of Turkey, a negative Spearman correlation for the number of infected class and a positive Spearman correlation for both the number of deaths and recoveries were obtained. This implied that the daily infections could decrease, while the daily deaths and number of recovered people could increase under current conditions. In the case of South Africa, a negative Spearman correlation for both daily deaths and daily infected people was obtained, indicating that these numbers may decrease if the current conditions are maintained. The utilization of a statistical technique predicted the daily number of infected, recovered and dead people for each country; and three results were obtained for Turkey, namely an upper boundary, a prediction from current situation and lower boundary. The prediction shows that Turkey may register in the near future approximately more than 6000 new infections in a day as worst case scenario; and less than 300 cases in the perfect scenario. However, the country could register in the near future a daily number of 27000 people recovered from COVID-19 in the perfect scenario; and less than 5000 people in a worst scenario. Moreover, Turkey in a worst-case scenario could record a high number of approximately 200 deaths per day; and less than 150 deaths in a perfect scenario. Similarly, in the case of South Africa, the prediction results show that in the near future the country could register about 500 new infected cases daily and more than 25 deaths in the worst scenario; while in a perfect scenario less than 50 new infected and zero death cases could be recorded. The histograms of the daily number of newly infected, recovered and death showed a sign of lognormal and normal distribution, which is presented using the Bell curving method parameters estimation. A new mathematical model COVID-19 comprised of nine classes was suggested; of which a formula of the reproductive number, well-poseness of the solutions and the stability analysis were presented in details. The suggested model was further extended to the scope of nonlocal operators for each case; whereby the Atangana-Seda numerical method was used to provide numerical solutions, and simulations were performed for different non-integer numbers. Additionally, sections devoted to control optimal and others dedicated to compare cases between Turkey and South Africa with the aim to comprehend why there are less numbers of deaths and infected people in South Africa than Turkey were presented in details.",5/13/2020,"['UNIVERSITY OF FREE STATE', 'Siirt university']",,,,!!!,
CoViD-19 Epidemic in India and Projections: Is Relief in Sight?,10.1101/2020.05.08.20096008,"Background: Projection of cases and deaths in an epidemic such as CoViD-19 is hazardous and the early projections were way-off the actual pattern. However, we now have actual data for more than 50 consecutive days in India that can be effectively used for projection. Methods: We closely track the trend and use the same pattern for projection. We call this Empirical Model. We also fit a Theoretical Model based on a Gamma function on the pattern of some of the previous epidemics. Results: The Empirical Model predicts the peak around the fourth week of May and the near end of the epidemic by the end of June 2020. The maximum number of active cases is likely to be nearly 75,000 during the second week of June. This would mean a peak demand of nearly 15,000 beds and nearly 4000 ventilators. The case-fatality based on those who have reached an outcome was nearly 10% in the first week of May and is likely to remain at this level for some time. Theoretical Model projected a peak of nearly 2500 new cases per day in the second week of May that seems to have been already breached. This model predicts the near end of the epidemic by the middle of July 2020.",5/13/2020,['Max Healthcare'],number (R0) of 2.66,2.66,,,
The Estimated Time-Varying Reproduction Numbers during the Ongoing Pandemic of the Coronavirus Disease 2019 (COVID-19) in 12 Selected Countries outside China,10.1101/2020.05.10.20097154,"Background: How can we anticipate the progression of the ongoing pandemic of the coronavirus disease 2019 (COVID-19)? As a measure of transmissibility, we aimed to estimate concurrently the time-varying reproduction number, R0(t), over time during the COVID-19 pandemic for each of the following 12 heavily-attacked countries: Singapore, South Korea, Japan, Iran, Italy, Spain, Germany, France, Belgium, United Kingdom, the United States of America, and South Africa. Methods: We downloaded the publicly available COVID-19 pandemic data from the WHO COVID-19 Dashboard website (https://covid19.who.int/) for the duration of January 11, 2020 and May 1, 2020. Then, we specified two plausible distributions of serial interval to apply the novel estimation method implemented in the incidence and EpiEstim packages to the data of daily new confirmed cases for robustly estimating R0(t) in the R software. Results: We plotted the epidemic curves of daily new confirmed cases for the 12 selected countries. A clear peak of the epidemic curve appeared in 10 of the 12 selected countries at various time points, and then the epidemic curve declined gradually. However, the United States of America and South Africa happened to have two or more peaks and their epidemic curves either reached a plateau or still climbed up. Almost all curves of the estimated R0(t) monotonically went down to be less than or close to 1.0 up to April 30, 2020 except Singapore, South Korea, Japan, Iran, and South Africa, of which the curves surprisingly went up and down at various time periods during the COVID-19 pandemic. Finally, the United States of America and South Africa were the two countries with the approximate R0(t) [&ge;] 1.0 at the end of April, and thus they were now facing the harshest battles against the coronavirus among the 12 selected countries. By contrast, Spain, Germany, and France with smaller values of the estimated R0(t) were relatively better than the other 9 countries. Conclusion: Seeing the estimated R0(t) going downhill speedily is more informative than looking for the drops in the daily number of new confirmed cases during an ongoing epidemic of infectious disease. We urge public health authorities and scientists to estimate R0(t) routinely during an epidemic of infectious disease and to report R0(t) daily to the public until the end of the epidemic.",5/14/2020,"['National Taiwan University, College of Medicine']",R0 for the COVID-19 epidemic such as 2.24,2.24,,!!!,
The far side of the COVID-19 epidemic curve: local re-openings based on globally coordinated triggers may work best,10.1101/2020.05.10.20097485,"In the late stages of an epidemic, infections are often sporadic and geographically distributed. Spatially structured stochastic models can capture these important features of disease dynamics, thereby allowing a broader exploration of interventions. Here we develop a stochastic model of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) transmission amongst an interconnected group of population centres representing counties, municipalities and districts (collectively, ``counties''). The model is parameterized with demographic, epidemiological, testing, and travel data from the province of Ontario, Canada. We explore the effects of different control strategies after the epidemic curve has been flattened. We compare a local strategy of re-opening (and re-closing, as needed) schools and workplaces county-by-county according to triggers for county-specific infection prevalence, to a global strategy of province-wide re-opening and re-closing according to triggers for province-wide infection prevalence. We find that the local strategy results in far fewer person-days of closure but only slightly more coronavirus disease (COVID-19) cases, even under assumptions of high inter-county travel. However, both cases and person-days lost to closure rise significantly when county triggers are not coordinated by the province and when testing rates vary among counties. Finally, we show that local strategies can also do better in the early epidemic stage but only if testing rates are high and the trigger prevalence is low. Our results suggest that phased plans for re-opening economies on the far side of the COVID-19 epidemic curve should consider preceding larger-scale re-openings with coordinated local re-openings.",5/14/2020,"['University of Guelph', 'University of Waterloo']",the assumption that R0 = 2.3,2.3,,,
A dynamic model for Covid-19 in Brazil.,10.1101/2020.05.10.20097550,A dynamic model for the current coronavirus outbreak is presented. The most important parameters are identified which determine the number of cases progression. Results of a numerical simulation are compared with existing data of the number of infections in Sao Paulo and Brazil. On the basis of these results measures are proposed to control the epidemics and to flat the infection curve. A simple three steps procedure is proposed to predict the time evolution of the epidemics and a criteria to resume 'normal' activities after quarantine is proposed.,5/14/2020,"['University of Sao Paulo', 'Hospital da Clinicas da Universidade de Sao Paulo']",tween 2-6,4,,,
Critical levels of mask efficiency and of mask adoption that theoretically extinguish respiratory virus epidemics,10.1101/2020.05.09.20096644,"Using a respiratory virus epidemiological model we derive equations for the critical levels of mask efficiency (fraction blocked) and mask adoption (fraction of population wearing masks) that lower the effective reproduction number to unity. The model extends a basic epidemiological model and assumes that a specified fraction of a population dons masks at a given initial number of infections. The model includes a contribution from the ocular (nasolacrimal duct) route, and does not include contributions from contact (fomite) routes. The model accommodates dose-response (probability of infection) functions that are linear or non-linear. Our motivation to study near-population-wide mask wearing arises from the concept that, between two mask wearers, the concentration of particles at inhalation should be the square of the mask penetration fraction. This combination, or team, of masks can provide a strong dose-lowering squaring effect, which enables the use of lower-efficiency, lower-cost, lower pressure-drop (easier breathing) masks. For an epidemic with basic reproduction number R0=2.5 and with a linear dose-response, the critical mask efficiency is calculated to be 0.5 for a mask adoption level of 0.8 of the population. Importantly, this efficiency is well below that of a N95 mask, and well above that of some fabric masks. Numerical solutions of the model at near-critical levels of mask efficiency and mask adoption demonstrate avoidance of epidemics. To be conservative we use mask efficiencies measured with the most-penetrating viral-particle sizes. The critical mask adoption level for surgical masks with an efficiency of 0.58 is computed to be 0.73. With surgical masks (or equally efficient substitutes) and 80% and 90% adoption levels, respiratory epidemics with R0 of about 3 and 4, respectively, would be theoretically extinguished.",5/15/2020,['Independent Research'],reproduction number R0 = 2.5,2.5,,,
Time is of the essence: impact of delays on effectiveness of contact tracing for COVID-19,10.1101/2020.05.09.20096289,"Summary Background With confirmed cases of COVID-19 declining in many countries, lockdown measures are gradually being lifted. However, even if most social distancing measures are continued, other public health measures will be needed to control the epidemic. Contact tracing either via conventional methods or via mobile app technology is central to control strategies during de-escalation of social distancing. It is therefore essential to identify key factors for a contact tracing strategy (CTS) to be successful. Methods We evaluated the impact of timeliness and completeness in various steps of a CTS using a stochastic mathematical model with explicit time delays between time of infection, symptom onset, diagnosis by testing, and isolation. The model also includes tracing of close contacts (e.g. household members) and casual contacts with different delays and coverages. We computed effective reproduction numbers of a CTS (Rcts) for a population with social distancing measures and various scenarios for isolation of index cases and tracing and quarantine of its contacts. Findings In the best-case scenario (testing and tracing delays of 0 days and tracing coverage of 100%) the effective reproduction number will be reduced with 50% from 1.2 (with social distancing only) to 0.6 (Rcts) by contact tracing. A testing delay of 3 days requires tracing delay or coverage to be at most 1 day or at least 80% to keep Rcts below 1, with the Rcts reduction being 15% and 17%, respectively. With a testing delay of 4 days, even the most efficient CTS cannot reach Rcts values below 1. The effect of minimizing tracing delay (e.g., with app-based technology) declines with declining coverage of app use, but app-based tracing remains more effective than conventional contact tracing even with 20% coverage. The proportion of transmissions per index case that can be prevented depending on testing and tracing delay and isolation of index cases ranges from above 80% in the best-case scenario (testing and tracing delays of 0 days) to 40% and 17% with testing delays of 3 and 5 days, respectively. Interpretation Minimizing testing delay is of key importance for the effectiveness of CTS. Optimizing testing and tracing coverage and minimizing tracing delays, for instance with app-based technology further enhances effectiveness of CTS, with a potential to prevent up to 80% of all transmissions. The process of conventional contact tracing should be reviewed and streamlined, while mobile app technology may offer a tool for gaining speed in the process.",5/15/2020,['University Medical Center Utrecht'],model predicts that the effective reproduction number of 1.2,1.2,,,
COVID-19 pandemic control: balancing detection policy and lockdown intervention under ICU sustainability,10.1101/2020.05.13.20100842,"We consider here an extended $SIR$ model, including several features of the recent COVID-19 outbreak: in particular the infected and recovered individuals can either be detected (+) or undetected (-) and we also integrate an intensive care unit (ICU) capacity. Our model enables a tractable quantitative analysis of the optimal policy for the control of the epidemic dynamics using both lockdown and detection intervention levers. With parametric specification based on literature on COVID-19, we investigate the sensitivities of various quantities on the optimal strategies, taking into account the subtle trade-off between the sanitary and the socio-economic cost of the pandemic, together with the limited capacity level of ICU. We identify the optimal lockdown policy as an intervention structured in 4 successive phases: First a quick and strong lockdown intervention to stop the exponential growth of the contagion; second a short transition phase to reduce the prevalence of the virus; third a long period with full ICU capacity and stable virus prevalence; finally a return to normal social interactions with disappearance of the virus. The optimal scenario hereby avoids the second wave of infection, provided the lockdown is released sufficiently slowly. We also provide optimal intervention measures with increasing ICU capacity, as well as optimization over the effort on detection of infectious and immune individuals. Whenever massive resources are introduced to detect infected individuals, the pressure on social distancing can be released, whereas the impact of detection of immune individuals reveals to be more moderate.",5/16/2020,"['UniversitÃ© du QuÃ©bec Ã MontrÃ©al', 'UniversitÃ© Gustave Eiffel', 'Princeton University']",The initial reproduction number ℜ0 = 3.3,3.3,,,
Basic Reproduction Rate and Case Fatality Rate of COVID-19: Application of Meta-analysis,10.1101/2020.05.13.20100750,"Abstract Background: The outbreak of novel coronavirus disease of 2019 (COVID-19) has a wider geographical spread than other previous viruses such as Ebola and H1N1. The onset of disease and its transmission and severity has become a global concern. The policymakers have a serious concern for containing the spread and minimising the risk of death. Aim: This study aims to provide the estimates of basic reproduction rate (R0) and case fatality rate (CFR) which applies to a generalised population. Methods: A systematic review was carried out to retrieve the published estimates of reproduction rate and case fatality rate in peer-reviewed articles from PubMed MEDLINE database with defined inclusion and exclusion criteria in the period 15 December 2019 to 3 May 2020. The systematic review led to the selection of 24 articles for R0 and 17 articles for CFR. These studies used data from China and its provinces, other Asian countries such as Japan, Korea, the Philippines, and countries from other parts of the world such as Nigeria, Iran, Italy, Europe as a whole, France, Latin America, Turkey, the United Kingdom (UK), and the United States of America (USA). These selected articles gave an output of 30 counts of R0 and 29 counts of CFR which were used in a meta-analysis. A meta-analysis, with the inverse variance method, fixed- and random-effects model and the Forest plot, was performed to estimate the mean effect size or mean value of basic reproduction rate and case fatality rate. The Funnel plot is used to comprehend the publication bias. Results: We estimated the robust estimate of R0 at 3.11 (2.49-3.71) persons and the robust estimate of CFR at 2.56 (2.06-3.05) per cent after accounting for heterogeneity among studies, using the random-effects model. The regional subgroup analysis in a meta-analysis was significant for R0 but was not significant for CFR. The R0 values varied from 1.90 (1.06-2.74) persons to 3.83 (2.44-5.22) persons across the regions. The Funnel plot confirms that the selected studies are significant at one per cent level of significance. Conclusion: We found that one person is likely to infect two to three persons in the absence of any control measures, and around three per cent of the population are at the risk of death within one-and-a-half months from the onset of disease COVID-19 in a generalised population. The emergence of SARS-CoV-2 varies across regions, but the risk of death remains the same. Contribution: The estimates of R0 and CFR are independent of data from a particular region or time or a homogeneous population. These estimates are applicable to a generalised population. Therefore, the estimates of R0 and CFR are unequivocally applicable to developing country like India and its states or districts, in ambivalence. The assessments of R0 and CFR values across the developed nations make all of us aware of consequences of COVID-19, and hence these estimates are of crucial importance for government authorities for the practical implementation of strategies and control measures to contain the disease. Keywords: Covid-19, SARS-CoV-2, Reproduction Rate, Case Fatality Rate, Systematic Review, Meta-analysis",5/16/2020,"['International Institute For Population Sciences, Mumbai-400088,', 'International Institute For Population Sciences Mumbai-400088']",evidence available across countries is 3.11,3.11,,,
Environmental indicator for effective control of COVID-19 spreading,10.1101/2020.05.12.20099804,"Recently, a novel coronavirus (COVID-19) has caused viral pneumonia worldwide, spreading to more than 200 countries, posing a major threat to international health. To prevent the spread of COVID-19, in this study, we report that the city lockdown measure was an effective way to reduce the number of new cases, and the nitrogen dioxide (NO2) concentration can be adopted as an environmental lockdown indicator. In China, after strict city lockdown, the average NO2 concentration decreased 55.7% (95% confidence interval (CI): 51.5-59.6%) and the total number of confirmed new cases decreased significantly. We also determined that the global airborne NO2 concentration steeply decreased over the vast majority of COVID-19-hit areas based on satellite measurements. We found that if NO2 emissions significantly decreased, the total number of confirmed new cases reached an inflection point after approximately two weeks. Italy, Germany and France are good examples. Our results suggest that NO2 satellite measurement can help decision makers effectively monitor control regulations to reduce the spread of COVID-19.",5/16/2020,['Lanzhou University'],case reproduction 191 number (R0) is 3.15,3.15,,,
Relaxing lockdown measures in epidemic outbreaks using selective socio-economic containment with uncertainty,10.1101/2020.05.12.20099721,"After an initial phase characterized by the introduction of timely and drastic containment measures aimed at stopping the epidemic contagion from SARS-CoV2, many governments are preparing to relax such measures in the face of a severe economic crisis caused by lockdowns. Assessing the impact of such openings in relation to the risk of a resumption of the spread of the disease is an extremely difficult problem due to the many unknowns concerning the actual number of people infected, the actual reproduction number and infection fatality rate of the disease. In this work, starting from a compartmental model with a social structure, we derive models with multiple feedback controls depending on the social activities that allow to assess the impact of a selective relaxation of the containment measures in the presence of uncertain data. Specific contact patterns in the home, work, school and other locations for all countries considered have been used. Results from different scenarios in some of the major countries where the epidemic is ongoing, including Germany, France, Italy, Spain, the United Kingdom and the United States, are presented and discussed.",5/16/2020,"['University of Verona', 'University of Ferrara', 'University of Pavia']","reproduction numbers R0 = β/γ ∈ (4.5, 9.5)",7,,,
FORECASTING COVID-19 PANDEMIC: A DATA-DRIVEN ANALYSIS,10.1101/2020.05.12.20099192,"In this paper, a new Susceptible-Exposed-Symptomatic Infectious-Asymptomatic Infectious-Quarantined-Hospitalized-Recovered-Dead (SEIDIUQHRD) deterministic compartmental model has been proposed and calibrated for describing the transmission dynamics of the novel coronavirus disease (COVID-19). A calibration process is executed through the solution of an inverse problem with the help of a Trust-Region-Reflective algorithm, used to determine the best parameter values that would fit the model response. The purpose of this study is to give a tentative prediction of the epidemic peak for Russia, Brazil, India and Bangladesh which could become the next COVID-19 hotspots in no time. Based on the publicly available epidemiological data from late January until 10 May, it has been estimated that the number of daily new symptomatic infectious cases for the above mentioned countries could reach the peak around the beginning of June with the peak size of {approx}15,774 symptomatic infectious cases in Russia, {approx}26,449 cases in Brazil, {approx}9,504 cases in India and {approx}2,209 cases in Bangladesh. Based on our analysis, the estimated value of the basic reproduction number (R0) as of May 11, 2020 was found to be {approx}4.234 in Russia, {approx}5.347 in Brazil, {approx}5.218 in India, {approx}4.649 in the United Kingdom and {approx}3.5 in Bangladesh. Moreover, with an aim to quantify the uncertainty of our model parameters, Latin hypercube sampling-partial rank correlation coefficient (LHS-PRCC) which is a global sensitivity analysis (GSA) method is applied which elucidates that, for Russia, the recovery rate of undetected asymptomatic carriers, the rate of getting home-quarantined or self-quarantined and the transition rate from quarantined class to susceptible class are the most influential parameters, whereas the rate of getting home-quarantined or self-quarantined and the inverse of the COVID-19 incubation period are highly sensitive parameters in Brazil, India, Bangladesh and the United Kingdom which could significantly affect the transmission dynamics of the novel coronavirus. Our analysis also suggests that relaxing social distancing restrictions too quickly could exacerbate the epidemic outbreak in the above mentioned countries.",5/17/2020,['Bangladesh University of Engineering and Technology'],was found to be ∼ 4.234,4.234,,,
Modelling and data-based analysis of COVID-19 outbreak in India : a study on impact of social distancing measures,10.1101/2020.05.12.20099184,"In this manuscript, we model and visualize the region-wise trends of the evolution to COVID-19 infections employing a SIR epidemiological model. The SIR dynamics are expressed using stochastic differential equations. We first optimize the parameters of the model using RMSE as loss function on the available data using L-BFGS-B gradient descent optimisation to minimise this loss function. This helps to gain better approximation of the models parameter for specific country or region. The derived parameters are aggregated to project future trends for the Indian subcontinent for next 180 days, which is currently at an early stage within the infection cycle. The projections are meant to function a suggestion for strategies for the socio-political counter measures to mitigate COVID-19. This study considers the current data for India from various open sources. The SIR models prediction is found following the actual trends till date. The inflection point analysis is important to find out which countries have reached their inflection point of the number of infection. We found that if current restrictions like lockdown in India continues with same control till 20 May 2020 then,the number of infected patients will start decreasing after this date.",5/17/2020,"['INDIAN INSTITUETE OF INFORMATION TECHNOLOGY, NAGPUR', 'INDIAN INSTITUTE OF INFORMATION TECHNOLOGY NAGPUR', 'DMIMS, Sawangi, Wardha, India']",table,4.9,,,
